"legid";"accident_count";"geom_kml"
5637;1;"<LineString><coordinates>-104.9316983183773,39.751050451381857 -104.931695685576514,39.752913401902219 -104.931707722134689,39.754217957554864 -104.931716789060729,39.755888978205633 -104.931711616617392,39.757922046795557 -104.931725427207581,39.758310408336207</coordinates></LineString>"
11700;1;"<LineString><coordinates>-105.28722670840996,40.010482328706495 -105.287229347128047,40.011049832500341 -105.287236482106877,40.011688830154256 -105.287230803105714,40.012315195747618 -105.287225103060365,40.012944206982766 -105.287224722697246,40.013495109120377 -105.287224413506479,40.013940722268472</coordinates></LineString>"
14217;1;"<LineString><coordinates>-105.034394304162845,39.943271027579392 -105.036105082953227,39.943277764195159 -105.043987981203614,39.943285978658949 -105.052835933188788,39.94327031880583 -105.052853415521852,39.943270403687485</coordinates></LineString>"
14565;1;"<LineString><coordinates>-105.039257629658934,39.780214799040422 -105.0392686096462,39.776989393880456 -105.039308433261809,39.775282605035279 -105.039304081072757,39.774100767123862 -105.039340981310161,39.769536904977024 -105.039324529140515,39.767101164332949 -105.039317272289978,39.766026781465321 -105.039316010699679,39.765784274467336</coordinates></LineString>"
4955;1;"<LineString><coordinates>-104.898758128757393,39.735633269147236 -104.898766229023806,39.732875786057356</coordinates></LineString>"
11506;1;"<LineString><coordinates>-105.249576064420822,39.988404567467967 -105.24946182050428,39.988415300478117 -105.248960059566713,39.988313206719518</coordinates></LineString>"
12280;1;"<LineString><coordinates>-105.206995259646831,40.067237763802289 -105.206828219939254,40.067237726253772</coordinates></LineString>"
4942;1;"<LineString><coordinates>-104.916111802351125,39.735113955393977 -104.912432378753422,39.735113102626251 -104.912446827112987,39.735618300957761 -104.908165298511733,39.735611262455457 -104.903467991445552,39.735630800860932 -104.898758129360417,39.735633269147442 -104.898758128757393,39.735633269147236</coordinates></LineString>"
5925;1;"<LineString><coordinates>-105.131143439332703,39.700468760463302 -105.130917124952106,39.700214901905483 -105.130260649730332,39.699696243387919 -105.129839732009145,39.699348984138432 -105.129596463385681,39.699056710359628 -105.129431075006693,39.698715789690432 -105.129377717775228,39.698417655750106 -105.129363238153942,39.697844045997485 -105.129378134311125,39.697434278378111 -105.129379667091129,39.696691675869126 -105.129384685710363,39.6963789643669</coordinates></LineString>"
7293;1;"<LineString><coordinates>-104.997736475251941,39.591457221630812 -104.997715817671704,39.591446821708459 -104.997416934301057,39.591332300395692 -104.99391528652481,39.589785790380766</coordinates></LineString>"
3861;1;"<LineString><coordinates>-104.894765110184963,39.68932431496804 -104.894463794078334,39.689335940863806 -104.894251346135263,39.689353071348066 -104.894019294548841,39.689364025210018 -104.893527829539607,39.689367565702952 -104.892773097912468,39.689354559107855 -104.892389094506925,39.689324433096516 -104.889015067509987,39.68930694966501 -104.887966753201539,39.689309933773693 -104.881797344573812,39.689286096786333 -104.880596086845159,39.689296647835924 -104.877571252894228,39.689305983708898 -104.875027162605292,39.689284053226743 -104.867561074982376,39.689291517343854 -104.867143119985826,39.68936049148374 -104.866962450507501,39.689406756192639 -104.866773419327743,39.689442187005056 -104.866427081782348,39.689482845244108 -104.865939655289779,39.68947414265282</coordinates></LineString>"
12118;1;"<LineString><coordinates>-105.278322140491838,40.017133663960408 -105.277025503894649,40.017424081622941 -105.275691919480352,40.017687395330753</coordinates></LineString>"
5247;1;"<LineString><coordinates>-105.03933394012013,39.743957879316547 -105.039324128015963,39.736698477145964 -105.039296961738671,39.736515870638783 -105.03929588710163,39.734715899476981</coordinates></LineString>"
8548;1;"<LineString><coordinates>-105.174501761604105,39.827056555769254 -105.174613097682467,39.82705718031751 -105.174613144667802,39.827084029368784 -105.175018325360341,39.827086304057289 -105.175267439016082,39.827065027941792 -105.17551125817829,39.826996466730463 -105.175726431431016,39.826884588344825 -105.17620986124443,39.826560890157147 -105.176396965901233,39.826451427262512 -105.176601132297222,39.8263619105022 -105.176927654322995,39.826269112890728 -105.177180889546008,39.826233008720159 -105.177429145543329,39.826227730029345 -105.177725397652026,39.826251172868915 -105.177998673478143,39.826311033424105 -105.178234548698839,39.826394357308715 -105.178519156976037,39.8265443339276 -105.178742929382508,39.826716912116744 -105.178923752105135,39.826873727850732 -105.179180955645279,39.827005612690051 -105.179437397558473,39.827070077637231 -105.179637609435929,39.827084673936355 -105.181152059342764,39.827082555886655 -105.184039384881032,39.827101781228855</coordinates></LineString>"
3834;1;"<LineString><coordinates>-105.081459847743886,39.689450920724489 -105.07967426819566,39.689453310702142 -105.073184046709642,39.689425552344289</coordinates></LineString>"
3089;1;"<LineString><coordinates>-104.892694114861229,39.638702892298099 -104.893444427917998,39.64228763682523 -104.893528322465116,39.64266025896584 -104.893920859467372,39.643396028527064</coordinates></LineString>"
11554;1;"<LineString><coordinates>-105.287230037977309,40.00724396648836 -105.286947677184344,40.007250627013079 -105.285565252570919,40.007249335264802 -105.284303486112307,40.007237895691453 -105.283719575142527,40.007242235130633 -105.283148963506278,40.007247199476268 -105.282556390467974,40.007250929196225 -105.282061347343998,40.007254040707473 -105.281973248124544,40.007274955004753</coordinates></LineString>"
14489;1;"<LineString><coordinates>-104.847188977039181,39.782435334473689 -104.846278441852363,39.782394546756059 -104.842615043019805,39.781206776433159 -104.839300832998163,39.779020244060781</coordinates></LineString>"
1902;1;"<LineString><coordinates>-104.961220896463075,39.552722331889228 -104.962091399572245,39.553103527770752 -104.962614702199829,39.553232341619399 -104.962992407239113,39.553293952370858 -104.963370619470368,39.553289028739108 -104.963878106628854,39.553238120251997 -104.964291458272783,39.553133552761558 -104.964722503671808,39.552962528140867 -104.965171696839676,39.552665169202996 -104.96548317320925,39.552393795353503 -104.965656680802283,39.552181673386848 -104.965822401190337,39.551863059626356 -104.965919112300284,39.551577399306822 -104.965955308716403,39.55133803872436 -104.965946911701224,39.550180291573675 -104.965837612073614,39.549860425664519 -104.965676041457911,39.549633471207756 -104.965437073841031,39.549412817691291 -104.963042861276108,39.547811698065587 -104.960597245724912,39.546203640074253 -104.960349711701227,39.545982935557667 -104.960111386060191,39.545682431523112 -104.959933167699276,39.545388856478965 -104.95982354517183,39.545115558177073 -104.959783080883668,39.54478934908721 -104.959820623252043,39.54437700396501 -104.961101376037348,39.540976292263018 -104.961342936116552,39.540343596657891</coordinates></LineString>"
12136;1;"<LineString><coordinates>-105.287875249799484,40.016219503544441 -105.286641604482185,40.016467235225697 -105.286564164044648,40.016513812040778 -105.286531626494991,40.016533382820356 -105.285590030454941,40.01672956207274 -105.285213437809645,40.016806149037841 -105.285009146370086,40.0168476986683 -105.2837991935139,40.017094173054396</coordinates></LineString>"
8037;1;"<LineString><coordinates>-105.066882986746364,39.845699176783228 -105.067408249674259,39.845747354499146</coordinates></LineString>"
7292;1;"<LineString><coordinates>-105.002306424095494,39.593768963881928 -105.001925032218807,39.59349232952718 -105.00116994257526,39.592805018187832 -104.999889068579193,39.591634051143451 -104.999814355207903,39.591586171179372 -104.999743282203696,39.5915525425862 -104.999659165219882,39.591523071944422 -104.999576319267533,39.591508691049121 -104.99938124701049,39.591497074263998 -104.997813045363799,39.591495770289178 -104.997736475251941,39.591457221630812</coordinates></LineString>"
14508;1;"<LineString><coordinates>-104.968420530041399,39.760745841802304 -104.968424428405328,39.764842895531267 -104.968404551513274,39.765742767868659</coordinates></LineString>"
13524;1;"<LineString><coordinates>-105.256744933573572,40.00016064516462 -105.256036160661736,40.00010386864458 -105.254741807060597,40.000022165986053 -105.253044142735405,39.999998613852114</coordinates></LineString>"
6244;1;"<LineString><coordinates>-105.04237926690972,39.703427422799827 -105.042994483955326,39.703920697555503 -105.043165105136396,39.704019889089437 -105.043198727335479,39.704406210088145 -105.043198262320161,39.706928386792434 -105.043216563880748,39.708201869430653 -105.043219635016385,39.709444559213125 -105.043212198077129,39.710506315328047 -105.043236490800368,39.710859678308516 -105.04329721204769,39.711330116552197 -105.043250191837572,39.711819196606605 -105.043273573744017,39.714967594310245</coordinates></LineString>"
4774;1;"<LineString><coordinates>-104.904918625588763,39.667639395097218 -104.905891981199971,39.66764421416211 -104.905943694110107,39.667802287074103 -104.906123000452951,39.667967572587017 -104.906712144567834,39.668557356502383 -104.906897229870083,39.668784825737802 -104.906981390515554,39.669079905809845 -104.907030962138109,39.669282999846779 -104.907106681301457,39.669445434647542 -104.907203524415323,39.669565185272106 -104.907357335959304,39.669711295710485 -104.907967527991431,39.670310378751594 -104.908044855105629,39.670455837304161 -104.908077522234748,39.670625679949246 -104.908101729971364,39.670993655466454 -104.908107666340214,39.671161570173332 -104.908224859057711,39.671651020524841 -104.908469051948515,39.672505798144257 -104.908510960945321,39.672663666260824 -104.908552877642904,39.672831295308548 -104.908567330184681,39.673172901916864 -104.908573231351738,39.673501070211195 -104.908640750472443,39.673715705043143 -104.908756432457864,39.673933762436612 -104.908828215980179,39.674106898890258 -104.908870322169278,39.674239204938928 -104.908891237686461,39.674405105096504 -104.908892432165516,39.674842639087672</coordinates></LineString>"
12970;1;"<LineString><coordinates>-105.116681322157177,40.193226674304263 -105.116686818215001,40.192569230407649 -105.116702914572045,40.191936185210515 -105.116707559021748,40.191270845310974 -105.116723081042437,40.190581178448817 -105.116767654680757,40.188546828170495 -105.116765525275667,40.188421054857393</coordinates></LineString>"
